QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,Percentage Change C_LAST,Percentage Change UNDERLYING_LAST,Percentage Gain C_LAST,Percentage Gain UNDERLYING_LAST,Days to Max C_LAST,Days to Max UNDERLYING_LAST
2018-02-21,171.07,2019-01-18,1547845200,331.0,0.21214,0.0074,0.47373,-0.017,0.28943,0.23847,352.0,4.3, 31 x 601,4.15,4.3,210.0,38.9,0.228,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-22,172.5,2019-01-18,1547845200,330.0,0.21936,0.00762,0.48497,-0.0171,0.2996,0.23559,120.0,4.35, 464 x 15,4.3,4.45,210.0,37.5,0.217,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-23,175.56,2019-01-18,1547845200,329.0,0.23374,0.00799,0.51193,-0.01783,0.32489,0.22915,546.0,4.75, 285 x 190,4.65,4.81,210.0,34.4,0.196,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-27,178.39,2019-01-18,1547845200,325.0,0.26518,0.00825,0.55295,-0.01986,0.36649,0.23644,648.0,5.82, 61 x 526,5.7,5.84,210.0,31.6,0.177,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-28,178.12,2019-01-18,1547845200,324.0,0.27002,0.00811,0.55589,-0.02079,0.37225,0.24143,364.0,6.3, 2 x 317,5.75,6.2,210.0,31.9,0.179,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-03-01,175.0,2019-01-18,1547845200,323.0,0.24993,0.00775,0.52313,-0.01968,0.33519,0.24917,358.0,5.4, 20 x 30,5.41,5.54,210.0,35.0,0.2,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-03-07,175.03,2019-01-18,1547845200,317.0,0.2346,0.00795,0.5018,-0.01839,0.31315,0.23694,172.0,5.0, 15 x 146,4.71,4.9,210.0,35.0,0.2,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-03-08,176.94,2019-01-18,1547845200,316.0,0.24464,0.00821,0.51778,-0.01871,0.32854,0.23298,425.0,5.0, 337 x 50,4.95,5.1,210.0,33.1,0.187,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-03-22,168.77,2019-01-18,1547845200,302.04,0.18937,0.00709,0.4165,-0.01655,0.2329,0.2477,42.0,3.7, 2 x 393,3.46,3.7,210.0,41.2,0.244,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-03-23,164.94,2019-01-18,1547845200,301.04,0.16747,0.00667,0.37634,-0.01563,0.20173,0.25137,655.0,3.0, 214 x 115,2.78,3.3,210.0,45.1,0.273,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-04-20,165.72,2019-01-18,1547845200,273.04,0.14148,0.00657,0.32222,-0.01385,0.15816,0.2382,181.0,2.23, 1 x 273,2.15,2.36,210.0,44.3,0.267,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-04-23,165.24,2019-01-18,1547845200,270.04,0.13256,0.00638,0.30548,-0.01231,0.14685,0.2354,134.0,2.0, 2 x 371,1.98,2.11,210.0,44.8,0.271,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-04-24,162.94,2019-01-18,1547845200,269.04,0.11933,0.00601,0.27969,-0.01166,0.12958,0.23682,75.0,1.75, 10 x 473,1.66,1.92,210.0,47.1,0.289,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-04-25,163.65,2019-01-18,1547845200,268.04,0.12164,0.00612,0.28462,-0.01151,0.13292,0.23484,77.0,1.8, 2 x 159,1.75,1.91,210.0,46.3,0.283,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-04-26,164.22,2019-01-18,1547845200,267.04,0.11704,0.00606,0.27703,-0.0114,0.12838,0.23003,89.0,1.7, 68 x 596,1.6,1.83,210.0,45.8,0.279,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-04-27,162.32,2019-01-18,1547845200,266.04,0.10897,0.00577,0.25947,-0.01041,0.11716,0.23158,345.0,1.5, 40 x 171,1.49,1.61,210.0,47.7,0.294,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-02,176.57,2019-01-18,1547845200,261.04,0.17345,0.00838,0.38438,-0.01468,0.19914,0.20535,554.0,2.7, 346 x 11,2.57,2.75,210.0,33.4,0.189,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-03,176.89,2019-01-18,1547845200,260.04,0.18087,0.00836,0.3941,-0.01531,0.20651,0.21051,642.0,2.8, 21 x 7,2.82,2.88,210.0,33.1,0.187,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-04,183.83,2019-01-18,1547845200,259.04,0.24141,0.00965,0.48356,-0.0187,0.28191,0.20874,770.0,4.21, 330 x 17,4.2,4.29,210.0,26.2,0.142,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-08,186.05,2019-01-18,1547845200,255.04,0.26619,0.00992,0.51068,-0.0199,0.30808,0.21268,205.0,4.95, 272 x 34,4.85,5.0,210.0,23.9,0.129,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-09,187.36,2019-01-18,1547845200,254.04,0.27835,0.01011,0.52477,-0.02099,0.3215,0.21155,319.0,5.26, 384 x 26,5.15,5.3,210.0,22.6,0.121,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-10,190.04,2019-01-18,1547845200,253.04,0.30917,0.01037,0.557,-0.02262,0.35679,0.21463,525.0,6.1, 204 x 58,6.05,6.25,210.0,20.0,0.105,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-11,188.59,2019-01-18,1547845200,252.04,0.29601,0.01045,0.54212,-0.02197,0.34316,0.21165,121.0,5.77, 75 x 56,5.6,5.75,210.0,21.4,0.114,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-14,188.15,2019-01-18,1547845200,249.04,0.28966,0.01042,0.53253,-0.02253,0.3309,0.21106,88.0,5.53, 485 x 223,5.36,5.54,210.0,21.8,0.116,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-15,186.44,2019-01-18,1547845200,248.04,0.27278,0.01024,0.51196,-0.02119,0.30912,0.21066,219.0,5.0, 287 x 133,4.9,5.09,210.0,23.6,0.126,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-16,188.18,2019-01-18,1547845200,247.04,0.28872,0.01042,0.52962,-0.02238,0.32802,0.21105,356.0,5.48, 39 x 87,5.35,5.5,210.0,21.8,0.116,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-21,187.63,2019-01-18,1547845200,242.04,0.27713,0.01058,0.51278,-0.02193,0.30961,0.20606,100.0,4.9, 28 x 336,4.85,5.09,210.0,22.4,0.119,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-22,187.16,2019-01-18,1547845200,241.04,0.27316,0.01058,0.50739,-0.02152,0.30497,0.20609,38.0,4.85, 5 x 145,4.8,4.9,210.0,22.8,0.122,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-05-23,188.36,2019-01-18,1547845200,240.04,0.28109,0.01084,0.5165,-0.02126,0.31354,0.2033,253.0,4.91, 40 x 26,4.96,5.04,210.0,21.6,0.115,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
